"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","360","should create and read pet data from response","api","Wed Oct 08 13:28:25 UTC 2025","passed","Wed Oct 08 13:28:25 UTC 2025","READ Pet Test","api/getPet.spec.js","",""
"","6778","Successful login and logout","webkit","Wed Oct 08 13:27:30 UTC 2025","passed","Wed Oct 08 13:27:37 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","4649","Complete checkout process with generated user data","firefox","Wed Oct 08 13:28:50 UTC 2025","passed","Wed Oct 08 13:28:54 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","256","should create a pet and validate status code and model","api","Wed Oct 08 13:28:25 UTC 2025","passed","Wed Oct 08 13:28:25 UTC 2025","CREATE Pet Test","api/createPet.spec.js","",""
"","396","should delete a pet and validate status code","api","Wed Oct 08 13:28:25 UTC 2025","passed","Wed Oct 08 13:28:25 UTC 2025","DELETE Pet Test","api/deletePet.spec.js","",""
"","4766","Successful login and logout","firefox","Wed Oct 08 13:28:49 UTC 2025","passed","Wed Oct 08 13:28:54 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","81","should update a pet and validate status code and model","api","Wed Oct 08 13:28:25 UTC 2025","passed","Wed Oct 08 13:28:25 UTC 2025","UPDATE Pet Test","api/updatePet.spec.js","",""
"","4444","Add multiple products to cart and remove one","firefox","Wed Oct 08 13:28:49 UTC 2025","passed","Wed Oct 08 13:28:54 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","7775","Complete checkout process with generated user data","webkit","Wed Oct 08 13:27:30 UTC 2025","passed","Wed Oct 08 13:27:38 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","2919","Successful login and logout","chromium","Wed Oct 08 13:28:18 UTC 2025","passed","Wed Oct 08 13:28:21 UTC 2025","Login and logout functionality","e2e/login.spec.js","",""
"","1811","Add multiple products to cart and remove one","chromium","Wed Oct 08 13:28:18 UTC 2025","passed","Wed Oct 08 13:28:20 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
"","2185","Complete checkout process with generated user data","chromium","Wed Oct 08 13:28:19 UTC 2025","passed","Wed Oct 08 13:28:21 UTC 2025","Checkout flow","e2e/checkout.spec.js","",""
"","7392","Add multiple products to cart and remove one","webkit","Wed Oct 08 13:27:30 UTC 2025","passed","Wed Oct 08 13:27:38 UTC 2025","Shopping cart functionality","e2e/shopping.spec.js","",""
